time,out,in
1,0.025496,-0.26737
2,0.028404,-0.33443
3,0.032126,-0.36172
4,0.034737,-0.34338
5,0.035651,-0.34287
6,0.038753,-0.37588
7,0.038552,-0.33578
8,0.035881,-0.33557
9,0.032724,-0.36916
10,0.030306,-0.43413
11,0.029077,-0.45105
12,0.026768,-0.37991
13,0.023693,-0.38867
14,0.021227,-0.39097
15,0.016307,-0.37365
16,0.013935,-0.41571
17,0.012194,-0.41036
18,0.010572,-0.40284
19,0.0089975,-0.40544
20,0.0075363,-0.42042
21,0.0079469,-0.43262
22,0.0096634,-0.47152
23,0.011126,-0.47641
24,0.011934,-0.53462
25,0.013796,-0.45904
26,0.013618,-0.42778
27,0.015626,-0.4534
28,0.01591,-0.45798
29,0.018061,-0.5017
30,0.01981,-0.46946
31,0.020089,-0.47009
32,0.01967,-0.45865
33,0.018976,-0.43073
34,0.018521,-0.38379
35,0.014853,-0.39033
36,0.012644,-0.4316
37,0.010259,-0.43002
38,0.0082982,-0.4111
39,0.0053764,-0.44786
40,0.0058561,-0.48332
41,0.0064174,-0.48928
42,0.0057146,-0.49267
43,0.0062071,-0.48049
44,0.0045408,-0.45176
45,0.0020646,-0.42328
46,-0.0010882,-0.45152
47,-0.0033709,-0.42805
48,-0.0062014,-0.44165
49,-0.006472,-0.40539
50,-0.0082546,-0.3987
51,-0.010151,-0.3807
52,-0.014316,-0.35721
53,-0.018003,-0.37103
54,-0.021215,-0.35475
55,-0.023129,-0.33558
56,-0.023682,-0.33874
57,-0.022353,-0.35396
58,-0.021927,-0.39205
59,-0.019606,-0.34261
60,-0.019172,-0.37006
61,-0.017341,-0.37508
62,-0.014397,-0.33202
63,-0.014119,-0.28304
64,-0.013121,-0.29124
65,-0.012204,-0.29907
66,-0.011453,-0.28678
67,-0.0098165,-0.35637
68,-0.0069881,-0.33115
69,-0.0048228,-0.25383
70,-0.0053332,-0.28739
71,-0.0042035,-0.31808
72,-0.0048788,-0.28962
73,-0.0054719,-0.25724
74,-0.0068345,-0.28269
75,-0.0071894,-0.26068
76,-0.0098066,-0.23634
77,-0.01168,-0.29101
78,-0.011116,-0.28486
79,-0.01353,-0.2535
80,-0.012921,-0.28604
81,-0.013276,-0.18777
82,-0.0128,-0.23026
83,-0.012289,-0.20159
84,-0.013888,-0.20243
85,-0.012847,-0.18403
86,-0.015142,-0.11182
87,-0.01496,-0.16871
88,-0.015911,-0.19528
89,-0.016372,-0.22097
90,-0.016404,-0.18332
91,-0.018602,-0.22457
92,-0.019805,-0.15293
93,-0.022139,-0.16158
94,-0.024407,-0.15673
95,-0.026175,-0.11753
96,-0.026357,-0.11012
97,-0.027539,-0.076476
98,-0.025956,-0.1102
99,-0.024482,-0.10908
100,-0.022157,-0.093105
101,-0.020001,-0.021509
102,-0.017786,-0.018007
103,-0.014937,0.062479
104,-0.013654,0.066315
105,-0.011939,0.047142
106,-0.0094996,0.012871
107,-0.0052465,0.049914
108,-0.0038041,0.040574
109,-0.0023257,0.01698
110,-0.0015446,0.052749
111,-3.3237E-07,0.049057
112,0.0009756,0.043543
113,0.0022719,0.015818
114,0.0076711,0.024495
115,0.011488,0.027471
116,0.014484,0.076642
117,0.018366,0.097413
118,0.018668,0.042552
119,0.019544,0.073951
120,0.018981,0.087256
121,0.01893,0.032484
122,0.019984,-0.012868
123,0.020355,0.020603
124,0.019719,-0.010136
125,0.020829,-0.041591
126,0.020281,-0.025537
127,0.021199,0.010862
128,0.019097,0.07931
129,0.017135,0.039736
130,0.018721,-0.0051311
131,0.018451,-0.050172
132,0.021184,-0.042002
133,0.021365,-0.027544
134,0.022812,-0.067187
135,0.023081,-0.047126
136,0.020182,-0.068075
137,0.019383,-0.023059
138,0.017672,0.010978
139,0.014787,0.0097352
140,0.011898,-0.0089165
141,0.0098698,-0.023729
142,0.0085235,-0.0072247
143,0.0049391,0.015207
144,-0.000039335,0.0082433
145,-0.0023187,-0.027484
146,-0.0058346,0.03569
147,-0.010298,0.044158
148,-0.015327,0.065592
149,-0.021306,0.040947
150,-0.026542,0.041398
151,-0.03382,0.094747
152,-0.041185,0.14
153,-0.052006,0.11001
154,-0.05637,0.055077
155,-0.061185,0.07563
156,-0.065364,0.11951
157,-0.066774,0.20135
158,-0.069154,0.21927
159,-0.071738,0.26567
160,-0.073994,0.27361
161,-0.074691,0.24918
162,-0.073149,0.30885
163,-0.071985,0.32941
164,-0.068934,0.40724
165,-0.065094,0.48242
166,-0.06263,0.59854
167,-0.058161,0.64213
168,-0.054223,0.64284
169,-0.049556,0.60175
170,-0.043813,0.62205
171,-0.039962,0.62256
172,-0.036107,0.60274
173,-0.031264,0.65347
174,-0.027818,0.63965
175,-0.023495,0.6323
176,-0.020366,0.63493
177,-0.016424,0.61284
178,-0.011041,0.62578
179,-0.0072541,0.64444
180,-0.0046519,0.65321
181,-0.0017659,0.63788
182,-0.00011743,0.637
183,0.001895,0.63995
184,0.0028573,0.6304
185,0.0028403,0.63129
186,0.0037767,0.61061
187,0.0034451,0.56192
188,0.0082566,0.54332
189,0.010673,0.60465
190,0.01406,0.59505
191,0.01605,0.60012
192,0.016849,0.57829
193,0.018439,0.56325
194,0.018911,0.53663
195,0.019824,0.572
196,0.018962,0.54813
197,0.018016,0.52386
198,0.015707,0.51629
199,0.014244,0.47297
