time,in,out
1,-0.045575,0.022027
2,-0.046563,-0.0068358
3,-0.045269,-0.0083054
4,-0.047262,0.07626
5,-0.048368,0.041888
6,-0.045202,0.11072
7,-0.045056,0.14997
8,-0.041668,0.16461
9,-0.042291,0.20628
10,-0.042135,0.18695
11,-0.041724,0.22648
12,-0.042466,0.19433
13,-0.038694,0.19066
14,-0.035493,0.23752
15,-0.034012,0.27557
16,-0.032224,0.22176
17,-0.028716,0.27675
18,-0.031776,0.31883
19,-0.033024,0.31435
20,-0.034653,0.29101
21,-0.033132,0.29783
22,-0.034411,0.32916
23,-0.028559,0.28251
24,-0.024747,0.32398
25,-0.021992,0.3132
26,-0.019194,0.36066
27,-0.019617,0.36893
28,-0.015653,0.3218
29,-0.011424,0.32352
30,-0.0056424,0.3326
31,0.0002427,0.37777
32,0.0018928,0.3804
33,0.0051434,0.3496
34,0.0066884,0.40836
35,0.0025218,0.41089
36,0.0012453,0.41254
37,-0.0025647,0.41474
38,-0.0060152,0.37404
39,-0.0039276,0.3729
40,-0.0020004,0.32891
41,0.003426,0.31858
42,0.0091437,0.36204
43,0.01266,0.35531
44,0.01748,0.36102
45,0.019832,0.40506
46,0.021331,0.41588
47,0.022077,0.3649
48,0.023207,0.33616
49,0.023819,0.35053
50,0.024327,0.31947
51,0.024914,0.3553
52,0.023171,0.30448
53,0.023299,0.31087
54,0.021075,0.3434
55,0.018259,0.33528
56,0.012965,0.36138
57,0.009059,0.31521
58,0.0075945,0.32649
59,0.0057745,0.26751
60,0.004318,0.31623
61,0.00042395,0.30646
62,-0.0011944,0.25697
63,-0.0026901,0.22454
64,-0.0010658,0.20526
65,-0.0001963,0.18717
66,0.0024042,0.19802
67,0.0039919,0.23039
68,0.0050112,0.22511
69,0.0048613,0.26325
70,0.0047269,0.18127
71,0.0070473,0.22629
72,0.0051941,0.19211
73,0.0082744,0.23242
74,0.0060821,0.25966
75,0.0060817,0.25809
76,0.0016249,0.30164
77,-0.00014807,0.22534
78,0.000036868,0.33441
79,-0.010442,0.318
80,-0.0089223,0.15947
81,-0.0086799,0.27296
82,-0.012424,0.14569
83,-0.0042152,0.1439
84,-0.0053596,0.1831
85,-0.0029914,0.25577
86,-0.0099064,0.27302
87,-0.0080922,0.16365
88,-0.0057351,0.18676
89,-0.0037914,0.16649
90,-0.0041645,0.20827
91,-0.0045006,0.16583
92,-0.00429,0.2263
93,-0.012327,0.231
94,-0.014254,0.22516
95,-0.018794,0.22097
96,-0.019538,0.10492
97,-0.014433,0.1546
98,-0.019019,0.22238
99,-0.020962,0.21148
100,-0.023174,0.28159
101,-0.026162,0.25456
102,-0.029426,0.32132
103,-0.035843,0.2944
104,-0.038596,0.24793
105,-0.040473,0.23322
106,-0.043485,0.23386
107,-0.044619,0.23591
108,-0.047206,0.26245
109,-0.049088,0.25613
110,-0.047991,0.24446
111,-0.047783,0.25618
112,-0.045212,0.21994
113,-0.04242,0.23122
114,-0.037517,0.21957
115,-0.034545,0.29613
116,-0.031229,0.2265
117,-0.023799,0.25087
118,-0.022114,0.28471
119,-0.016453,0.26169
120,-0.014168,0.26034
121,-0.012648,0.24911
122,-0.008785,0.25891
123,-0.006821,0.28741
124,-0.0065121,0.30212
125,-0.0052944,0.2856
126,-0.0033985,0.30203
127,-0.0025255,0.30203
128,-0.0018059,0.31934
129,-0.0020089,0.33929
130,-0.0035881,0.37045
131,-0.0035794,0.36879
132,-0.0027502,0.38595
133,-0.0031468,0.3383
134,-0.0029384,0.37764
135,-0.0021231,0.3776
136,-0.003557,0.347
137,-0.0037453,0.3602
138,-0.0050794,0.37084
139,-0.0065651,0.38073
140,-0.007484,0.35255
141,-0.0069193,0.36506
142,-0.0086821,0.37179
143,-0.0091413,0.39502
144,-0.0088874,0.37975
145,-0.0084862,0.37185
146,-0.0093067,0.39583
147,-0.0080556,0.36444
148,-0.0083492,0.37227
149,-0.0071447,0.34215
150,-0.0068655,0.348
151,-0.0077691,0.32274
152,-0.0079492,0.33507
153,-0.0087477,0.34562
154,-0.01069,0.33839
155,-0.0092212,0.29945
156,-0.0097991,0.30793
157,-0.0099976,0.29819
158,-0.0089099,0.3165
159,-0.010218,0.34508
160,-0.011706,0.33159
161,-0.011898,0.32194
162,-0.012761,0.34654
163,-0.013986,0.33649
164,-0.015034,0.31582
165,-0.015557,0.32008
166,-0.012102,0.23035
167,-0.0051845,0.304
168,-0.0081078,0.32551
169,-0.0083667,0.24233
170,-0.0050004,0.24738
171,-0.00040311,0.2805
172,0.00010917,0.31719
173,-0.0013567,0.29114
174,-0.00054031,0.33065
175,-0.0042595,0.34516
176,-0.0032486,0.35226
177,-0.0048253,0.41396
178,-0.0076773,0.3827
179,-0.0079308,0.3716
180,-0.012415,0.41419
181,-0.015935,0.34484
182,-0.013255,0.30189
183,-0.013441,0.31777
184,-0.010789,0.29559
185,-0.011022,0.38741
186,-0.015937,0.33101
187,-0.013999,0.33558
188,-0.016077,0.37541
189,-0.016113,0.31836
190,-0.016707,0.36229
191,-0.020048,0.36223
192,-0.02059,0.35889
193,-0.021237,0.35538
194,-0.019863,0.30395
195,-0.018984,0.32654
196,-0.019691,0.36296
197,-0.019457,0.36759
198,-0.019757,0.37932
199,-0.021602,0.3659
200,-0.02177,0.35882
201,-0.023824,0.37966
202,-0.023061,0.38102
203,-0.022385,0.39393
204,-0.022644,0.43291
205,-0.023024,0.39354
206,-0.020507,0.40021
207,-0.023065,0.43235
208,-0.022351,0.36369
209,-0.022759,0.43054
210,-0.026418,0.39023
211,-0.028046,0.41824
212,-0.031646,0.43417
213,-0.034254,0.46704
214,-0.035944,0.4405
215,-0.037102,0.45098
216,-0.03862,0.43029
217,-0.04056,0.42073
218,-0.042134,0.42691
219,-0.042206,0.41991
220,-0.040245,0.46002
221,-0.041201,0.53254
222,-0.042782,0.49859
223,-0.037834,0.46554
224,-0.03747,0.59473
225,-0.037428,0.60799
226,-0.036371,0.60254
227,-0.031872,0.56007
228,-0.028649,0.63655
229,-0.031267,0.63166
230,-0.027193,0.60344
231,-0.028773,0.66253
232,-0.025111,0.58697
233,-0.022378,0.62554
234,-0.02096,0.58871
235,-0.018876,0.65003
236,-0.021419,0.63555
237,-0.017505,0.62573
238,-0.020487,0.72802
239,-0.023027,0.62986
240,-0.020252,0.644
241,-0.021578,0.65529
242,-0.022415,0.64367
243,-0.025648,0.70509
244,-0.030805,0.64732
245,-0.029128,0.59269
246,-0.02618,0.59435
247,-0.023416,0.58501
248,-0.018595,0.5788
249,-0.01649,0.63079
250,-0.015524,0.59815
251,-0.012545,0.58016
252,-0.0093854,0.56394
253,-0.0052209,0.57125
254,-0.0033438,0.59297
255,-0.0027218,0.59079
256,-0.0014373,0.58985
257,-0.00017272,0.63488
258,-0.0017042,0.64272
259,-0.0021778,0.60527
260,-0.0023424,0.64144
261,-0.0030519,0.6323
262,0.00010642,0.59541
263,0.0022907,0.59581
264,0.0030728,0.59263
265,0.0062746,0.57879
266,0.0092683,0.56909
267,0.011257,0.57774
268,0.013712,0.60201
269,0.011572,0.63035
270,0.011237,0.53007
271,0.01205,0.52327
272,0.013911,0.53325
273,0.015634,0.50205
274,0.016227,0.47482
275,0.017352,0.46441
276,0.015812,0.476
277,0.013647,0.42977
278,0.014029,0.46214
279,0.014116,0.48942
280,0.013333,0.5046
281,0.012701,0.47314
282,0.013114,0.43276
283,0.0124,0.4502
284,0.0099549,0.44011
285,0.0079194,0.42361
286,0.0068176,0.4158
287,0.0054121,0.42491
288,0.0046051,0.42148
289,0.0035702,0.41689
290,0.00060246,0.43996
291,-0.0012482,0.3832
292,0.0008832,0.37474
293,-0.00071369,0.37394
294,0.0014909,0.3083
295,0.0030004,0.33862
296,0.0023294,0.3049
297,0.00601,0.35159
298,0.0044195,0.4165
299,0.0035132,0.32518
300,0.0043285,0.34349
301,0.0020315,0.32005
302,0.0017952,0.24717
303,0.0024274,0.22038
304,0.00098584,0.25148
305,-0.0011411,0.28238
306,-0.0045048,0.3455
307,-0.011022,0.37541
308,-0.017291,0.34016
309,-0.020024,0.31184
310,-0.024026,0.35612
311,-0.028912,0.30684
312,-0.031313,0.31917
313,-0.035788,0.35834
314,-0.037997,0.34546
315,-0.039265,0.29191
316,-0.03747,0.2637
317,-0.03677,0.28204
318,-0.033688,0.27064
319,-0.031286,0.3124
320,-0.031101,0.27769
321,-0.029458,0.2475
322,-0.025891,0.23125
323,-0.022426,0.26818
324,-0.019236,0.25987
